timestamp,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2025-02-24,26443656.0,403.4592,408.51,404.0,409.37,399.32,514485,410.55,416.03549999999996
2025-02-25,29387402.0,398.9023,401.1,397.9,401.915,396.7,492990,408.20199999999994,414.2025
2025-02-26,19618954.0,399.6276,398.01,399.73,403.6,394.245,327110,405.19399999999996,411.829
2025-02-27,21127406.0,396.2031,401.265,392.53,405.74,392.17,377155,400.474,409.339
2025-02-28,32845658.0,393.978,392.655,396.99,397.63,386.57,432229,398.23,408.43899999999996
2025-03-03,23007726.0,391.4831,398.82,388.49,398.82,386.155,451463,395.128,407.1105
2025-03-04,29342923.0,386.7008,383.4,388.61,392.58,381.0,553952,393.27,405.995
2025-03-05,23433132.0,397.0442,389.34,401.02,401.67,388.81,404519,393.52799999999996,405.42749999999995
2025-03-06,23304625.0,397.2225,394.28,396.89,402.15,392.6777,393757,394.4,404.60749999999996
2025-03-07,22034087.0,391.4953,392.32,393.31,394.8,385.54,407965,393.664,403.482
2025-03-10,32840134.0,381.0032,385.84,380.16,386.4,377.22,703151,391.99799999999993,402.0025
2025-03-11,30380177.0,381.3124,379.0,380.45,386.0,376.91,470076,390.366,400.414
2025-03-12,24253567.0,382.6306,382.95,383.27,385.2165,378.9507,418282,386.816,399.00550000000004
2025-03-13,20473017.0,379.9685,383.155,378.77,385.32,377.45,369783,383.192,397.492
2025-03-14,19952846.0,386.5971,379.775,388.56,390.23,379.51,335261,382.242,396.39300000000003
2025-03-17,22474272.0,388.9763,386.7,388.7,392.705,385.57,330043,383.95,395.4065
2025-03-18,19486850.0,383.4213,387.07,383.52,387.37,381.1,319254,384.56399999999996,394.10049999999995
2025-03-19,19185532.0,386.9789,385.525,387.82,389.68,384.0,259928,385.474,392.75300000000004
2025-03-20,18470542.0,387.128,385.735,386.84,391.785,383.28,277903,387.088,391.2885
2025-03-21,39675928.0,387.9617,383.215,391.26,391.74,382.8,312808,387.62800000000004,390.441
2025-03-24,21004548.0,392.7781,395.4,393.08,395.4,389.81,339161,388.504,389.895
2025-03-25,15774968.0,394.8219,393.915,395.16,396.36,392.64,262247,390.832,389.758
2025-03-26,16132906.0,391.4984,395.0,389.97,395.31,388.57,283679,391.26200000000006,389.27
2025-03-27,13766761.0,390.406,390.13,390.58,392.24,387.395,240016,392.01,389.1725
2025-03-28,21632016.0,380.4626,388.08,378.8,389.13,376.93,420396,389.518,388.26300000000003
2025-03-31,35184676.0,372.9851,372.535,375.39,377.07,367.24,509405,385.98,387.608
2025-04-01,19689503.0,380.0488,374.65,382.19,382.85,373.23,404620,383.38599999999997,387.287
2025-04-02,16092555.0,381.7201,377.965,382.14,385.08,376.62,320479,381.82,386.34299999999996
2025-04-03,30197997.0,373.8726,374.785,373.11,377.48,369.35,569672,378.326,385.154
2025-04-04,49209854.0,364.7524,364.125,359.84,374.59,359.48,811766,374.534,383.4805
2025-04-07,50424998.0,356.0197,350.88,357.86,370.9999,344.79,911613,371.02799999999996,382.3655
2025-04-08,35868918.0,361.4573,368.255,354.56,373.65,350.25,627042,365.50199999999995,381.071
2025-04-09,50199696.0,379.0287,353.535,390.49,393.225,353.1,767323,367.172,381.43199999999996
2025-04-10,38024368.0,378.8984,382.06,381.35,383.9,367.8,576388,368.82,381.56100000000004
2025-04-11,23839220.0,386.4611,380.635,388.45,390.05,378.89,375874,374.54200000000003,381.5555
2025-04-14,19251172.0,388.9915,393.22,387.81,394.65,384.21,334136,380.53200000000004,381.51099999999997
2025-04-15,17199890.0,386.9027,388.505,385.73,391.89,384.1599,272411,386.76599999999996,381.6215
2025-04-16,21967826.0,373.9272,380.67,371.61,381.61,368.0,375761,382.99000000000007,380.811
2025-04-17,21120192.0,370.1449,373.745,367.78,374.3215,366.89,310300,380.276,379.85800000000006
2025-04-21,20807279.0,359.2345,362.815,359.12,364.48,355.67,343817,374.40999999999997,378.25100000000003
2025-04-22,19484993.0,365.2278,363.375,366.82,367.77,359.8602,304006,370.212,376.938
2025-04-23,20545526.0,376.1582,376.06,374.39,380.39,373.02,335410,367.944,375.89950000000005
2025-04-24,22232289.0,385.1448,375.695,387.3,388.45,375.19,297801,371.082,375.76599999999996
2025-04-25,18973165.0,390.0006,387.0,391.85,392.16,384.6,276680,375.896,375.8295
2025-04-28,16579430.0,390.2477,391.955,391.16,392.74,386.638,274916,382.304,376.4475
2025-04-29,14973976.0,393.5949,391.3,394.04,395.1,390.38,249780,387.74800000000005,377.38
2025-04-30,36461075.0,397.3093,390.3,395.26,396.66,384.44,525137,391.922,378.0335
2025-05-01,58938100.0,430.3142,431.11,425.4,436.99,424.9,913598,399.54200000000003,380.1965
2025-05-02,30757434.0,435.5067,431.74,435.28,439.44,429.985,542335,408.228,383.305
2025-05-05,20136053.0,436.5349,432.87,436.17,439.5,432.11,328657,417.23,387.1215
2025-05-06,15104204.0,434.4002,432.2,433.31,437.73,431.17,297624,425.084,390.894
2025-05-07,23307241.0,433.8398,433.84,433.35,438.12,431.1103,330269,432.70199999999994,394.8335
2025-05-08,23491330.0,439.1835,437.93,438.17,443.67,435.66,380141,435.25600000000003,397.21750000000003
2025-05-09,15324233.0,438.262,440.0,438.73,440.74,435.88,247739,435.946,400.0865
2025-05-12,22821935.0,445.9953,445.94,449.26,449.37,439.78,417124,438.564,403.127
